area,year,month,CACI,component_count,T90,T10,P,D,W
Province:Guizhou,2022,8,1.292463893939079,5,4.25889994208788,-0.886850726742267,-0.6303017386300768,-0.8970587647652987,2.8439293042606217
Province:Guizhou,2022,9,0.2882442696425709,5,0.8890259330014398,-0.3796567311690382,0.34955221771455053,-0.6386391032092635,0.4616255695370895
Province:Guizhou,2022,10,0.7735889526163278,5,2.038939869898377,0.5396782674851117,0.5880134470732431,-0.4167414850805443,2.197411198675675
Province:Guizhou,2022,11,1.4063136232867728,5,4.826433057661953,-0.8773841472723118,-0.13409911111439746,-0.23215280661453833,1.6940028292285336
Province:Guizhou,2022,12,0.5084636808392072,5,-1.5557530216866566,0.9446435029118949,2.9390060454038034,1.2833785043465165,0.8203303790442676
Province:Guizhou,2023,1,0.7440578083657178,5,1.6049396651309598,0.04936379090358035,0.5218037307786608,1.5480828077915205,0.09482662903102844
Province:Guizhou,2023,2,0.5274773009221729,5,-0.14507430266682073,-1.0126188798249325,-0.20008273924232176,1.5381024312519447,0.4318222354431301
Province:Guizhou,2023,3,0.5049810793779849,5,-0.04045675855159266,-1.0345359032632935,0.28910594784727073,1.492860151232622,-0.2511398469016696
Province:Guizhou,2023,4,0.9386029058396279,5,2.294517527523268,-0.1444886425696787,0.1696312601378157,1.3942442261367536,0.690132872830623
Province:Guizhou,2023,5,1.0996580562536054,5,3.303870431203948,0.29972410999894317,0.29753037619092343,1.2302991302280117,0.9663144536440865
Province:Guizhou,2023,6,0.6927115483248946,5,2.1244679366048933,-0.4460727498074297,0.18120493089341003,1.0082674614294804,-0.2964553371107408
Province:Guizhou,2023,7,1.3995474599944617,5,3.389366845904731,-0.49510339419190064,1.155310981402424,0.7567845996662284,1.2011714788070251
Province:Guizhou,2023,8,0.44778744788220165,5,1.2022608222719056,-0.52612999131521,1.0758066733336973,0.5099643293387619,-1.0752245768485666
Province:Guizhou,2023,9,0.408128958705981,5,2.7521313605376814,-1.256789004385754,-2.0064353715267647,0.290420108116721,-0.2522603079834869
Province:Guizhou,2023,10,1.054915685431368,5,1.8498691302756907,-1.120956777793319,1.0056109051645654,0.1059494335017784,1.1921921804214863
Province:Guizhou,2023,11,1.258553823882957,5,4.045334956544995,-0.2986059140893371,0.8694793378873098,-0.04495291950878115,1.124301830401924
Province:Guizhou,2023,12,1.014396421695793,5,3.024251052658539,1.2069168335697202,-0.33125832106820613,0.8268053671570593,2.7591008433012933
Province:Guizhou,2024,1,1.9361668647483672,5,3.4196190457017708,-0.09189531983613411,4.43537866374573,0.2891671207175207,1.4447741737406796
Province:Guizhou,2024,2,0.5761409944408492,5,0.7671080023756901,1.2856539775440414,-0.1202978824592493,0.23887504430351997,3.280673785528327
Province:Guizhou,2024,3,0.8494283611204718,5,2.7822126572428525,-1.0783734935468827,-0.4807269009167521,0.1726045025082768,0.6946780532210995
Province:Guizhou,2024,4,1.241709275916718,5,1.985293283901032,-1.2796478874003734,3.539830547341206,0.0893052959571417,-0.685530635016162
Province:Guizhou,2024,5,0.044884818539062364,5,-0.11921753733508517,-0.421637692213026,1.3145818180876745,-0.006978901389325997,-1.3855989788809775
Province:Guizhou,2024,6,0.0023477516916573294,5,-0.4081285043716374,0.5715831228698576,2.2262139226331334,-0.10606621134977665,-1.1286973255835753
Province:Guizhou,2024,7,1.8414804261998317,5,3.964468805635007,-1.5284316642298894,1.739408423552044,-0.19586566749370374,2.1709589050759215
Province:Guizhou,2024,8,1.850811907695892,5,3.7677441621639223,-1.0705551150265329,4.033617002724032,-0.2687911704086449,0.6509344289736195
Province:Guizhou,2024,9,1.3160593097458464,5,3.569007729371247,-1.436794453284157,1.5713904662065357,-0.3237460745397726,0.3268499744070654
Province:Guizhou,2024,10,0.8598386426022178,5,0.4634843529744539,-0.5019000824677835,4.84578779845476,-0.36356061645224247,-1.1484184044336652
Province:Guizhou,2024,11,0.07349900223128003,5,0.9680362027765821,-1.1612480653657062,-0.14730906444516298,-0.39202930420201954,-1.2224508883387055
Province:Guizhou,2024,12,-0.09394682540200745,5,-1.2451778283554737,-0.006575318942079092,1.5349255938485926,-0.31516570929436627,-0.45089150215086904
Province:Guizhou,2025,1,0.8770261117363602,4,1.4511293990641962,-0.7172005567527623,1.793371134856733,,-0.4535966437282506
Province:Guizhou,2025,2,-0.03181326243403065,4,-0.6203669195652736,-0.6341009139825937,-0.14063652923347836,,-0.00035051491996436945
Province:Guizhou,2025,3,0.34523283024848134,4,1.228974070867518,1.2740816982543095,0.960217765426888,,0.46582118295382874
Province:Guizhou,2025,4,0.7672845031904917,4,1.1132471898528684,-1.2287124407846777,1.1625435785452924,,-0.4353651964208717
Province:Guizhou,2025,5,-0.16756000446855074,4,0.22826418887821326,0.23286353596135265,0.31322712284237236,,-0.9788677936334359
Province:Guizhou,2025,6,0.8484810127348135,4,1.0777920461213064,-0.8589669877044123,1.9788383769234654,,-0.5216733598099302
Province:Guizhou,2025,7,0.467698752109309,4,1.4588786829278437,-1.5921263887218957,-0.2679933352014207,,-0.9122167280110828
Province:Guizhou,2025,8,0.2591497024467554,4,1.8284521956258162,-1.076065404685927,-1.385264368167314,,-0.48265442235740763
Province:Liaoning,1981,1,-0.29919041953072295,4,-1.2723122730166194,1.216297617504159,0.30710476455832203,,0.9847434478395642
Province:Liaoning,1981,2,-0.03629778559964325,4,-0.5482521159779897,0.6443640966653681,0.04122441595811526,,1.0062006542866695
Province:Liaoning,1981,3,1.5277083314474642,4,0.5120740552414141,-0.5389699438553333,3.176472954581732,,1.8833163721113766
Province:Liaoning,1981,4,0.5714874066889848,4,1.4563272945489665,-1.2150027939751336,-0.9357539295836687,,0.5503734678155078
Province:Liaoning,1981,5,1.095462528853641,4,-0.17448376680504357,0.8637654480876168,2.956714695170375,,2.46338463513685
Province:Liaoning,1981,6,1.1595420415037458,4,-0.378872998900629,-0.2138242862979354,2.3000538372783037,,2.5031630413393726
Province:Liaoning,1981,7,0.5897169074099057,4,0.2774578045595104,-1.0440268289400372,0.11793994103855075,,0.9194430551015246
Province:Liaoning,1981,8,-0.8038628102520439,4,-0.8795331882738643,1.8701600484932668,-1.0004609456144335,,0.5347029413733889
Province:Liaoning,1981,9,-0.042190853165219144,4,-0.13140200015826664,2.0065476798002724,0.22814069696818576,,1.7410455703294767
Province:Liaoning,1981,10,-0.2588982317496516,4,-1.027977922337916,0.8347780864643546,-0.8139886712565346,,1.6411517530601987
Province:Liaoning,1981,11,-0.979870686980765,4,-1.4717858451270756,2.669867325467059,0.6161078894856086,,-0.3939374668145343
Province:Liaoning,1981,12,-0.37468805350046386,5,-0.6432144900609508,-0.6662664711128792,-0.7491047843418617,-1.3490896910698,0.201702226857414
Province:Liaoning,1982,1,-0.2655926760626567,4,-0.8622072677239615,0.4089636113094457,,-1.6487189665166424,1.8575191412994227
Province:Liaoning,1982,2,-0.5156783916695356,5,-0.2502544352623042,-0.5333579274115641,-1.0377967848173704,-1.6761689241622275,-0.14752974151733936
