province,season_year,season,component,raw_value,month_count,grid_count,station_count,reference_mean,reference_sd,reference_n,standardized_value
Jilin,2016,Autumn,T10,12.607115767183524,3,6,10,9.589212469633953,4.647280796885773,30,0.6493912094943614
Jilin,2016,Autumn,T90,10.532198658695537,3,6,10,9.563824829850114,4.422061468886955,30,0.21898696697428868
Jilin,2016,Autumn,W,5.390332136381242,3,6,10,6.347817724080207,3.3587143097765035,30,-0.2850750315118878
Jilin,2016,Spring,T10,4.950118020870376,3,6,10,9.58424491560105,4.3716596561341285,30,-1.0600383513909326
Jilin,2016,Spring,T90,13.830226938964179,3,6,10,9.623019995537119,5.1727807945795385,30,0.81333563328949
Jilin,2016,Spring,W,7.091095230275964,3,6,10,6.669476365736921,3.564180671882334,30,0.11829334799584529
Jilin,2016,Summer,T10,7.53101860352542,3,6,10,9.615492988035236,3.7515103734703086,30,-0.5556360444184476
Jilin,2016,Summer,T90,13.143688270850248,3,6,10,9.583001016094654,6.472096141548924,30,0.5501598210040555
Jilin,2016,Summer,W,4.109328880426513,3,6,10,6.59529494499161,3.171245783403919,30,-0.7839083547465492
Jilin,2016,Winter,T10,10.261579819662257,3,6,10,9.551527418618987,7.670529064146335,29,0.09256889519683915
Jilin,2016,Winter,T90,7.613797205140372,3,6,10,9.91376159424016,5.333592775536447,29,-0.4312223459670597
Jilin,2016,Winter,W,5.16858901489991,3,6,10,6.3730096856980705,2.521033451049837,29,-0.4777487860371716
Jilin,2017,Autumn,T10,11.715333936935394,3,6,10,9.589212469633953,4.647280796885773,30,0.45749795638046964
Jilin,2017,Autumn,T90,10.117611265067573,3,6,10,9.563824829850114,4.422061468886955,30,0.1252326407296298
Jilin,2017,Autumn,W,10.856294240248829,3,6,10,6.347817724080207,3.3587143097765035,30,1.3423221210108298
Jilin,2017,Spring,T10,4.753621343761647,3,6,10,9.58424491560105,4.3716596561341285,30,-1.104986195588505
Jilin,2017,Spring,T90,16.62195681880066,3,6,10,9.623019995537119,5.1727807945795385,30,1.353031783329693
