station_id,USAF,STATION NAME,CTRY,ICAO,lat,lon,elev_m,province,province_source,region,grid_id,grid_lat,grid_lon
593530-99999,593530,ALI SHAN,CH,,23.517,120.8,2408.0,Taiwan,province_geojson,South,23.75_121.25,23.75,121.25
593540-99999,593540,CHIA-YI,TW,,23.467,120.383,25.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
593580-99999,593580,TAINAN,CH,,23.0,120.217,14.0,Taiwan,province_geojson,South,23.75_121.25,23.75,121.25
593610-99999,593610,HUA-LIAN CITY,TW,,23.983,121.6,19.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
593620-99999,593620,HUALIAN,CH,,24.017,121.617,14.0,Taiwan,province_geojson,South,23.75_121.25,23.75,121.25
594170-99999,594170,LONGZHOU,CH,,22.367,106.75,129.0,Guangxi,province_geojson,South,21.25_106.25,21.25,106.25
594270-99999,594270,NING-MING,CH,,22.117,107.133,168.0,Guangxi,province_geojson,South,21.25_106.25,21.25,106.25
594310-99999,594310,WUXU,CH,ZGNN,22.608,108.172,128.3,Guangxi,station_table_pdf,South,23.75_108.75,23.75,108.75
594320-99999,594320,BOGUS CHINESE,CH,,,,,Guangxi,station_table_pdf,Unmapped,nan_nan,,
594460-99999,594460,BOBAI,CH,,22.25,109.967,121.0,Guangxi,station_table_pdf,South,21.25_108.75,21.25,108.75
594530-99999,594530,CEN-XI,CH,,22.933,110.983,243.0,Guangxi,province_geojson,South,23.75_111.25,23.75,111.25
594560-99999,594560,XINYI,CH,,22.35,110.933,84.0,Guangdong,station_table_pdf,South,21.25_111.25,21.25,111.25
594620-99999,594620,LUODING,CH,,22.717,111.55,134.0,Guangdong,station_table_pdf,South,23.75_111.25,23.75,111.25
594720-99999,594720,MING-CHENG,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
594730-99999,594730,HE-QING,CH,,0.0,0.0,-999.0,Guangdong,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
594770-99999,594770,EN-PING,CH,,0.0,0.0,-999.0,Guangdong,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
594780-99999,594780,TAI-SHAN,CH,,22.267,112.783,46.0,Guangdong,station_table_pdf,South,21.25_113.75,21.25,113.75
594930-99999,594930,BAOAN INTL,CH,ZGSZ,22.639,113.811,4.0,Guangdong,station_table_pdf,South,23.75_113.75,23.75,113.75
595010-99999,595010,SHANWEI,CH,,22.783,115.367,5.0,Guangdong,station_table_pdf,South,23.75_116.25,23.75,116.25
595050-99999,595050,APPROXIMATE LOCALE,CH,,22.5,115.5,0.0,Guangdong,nearest_station_table_coord,South,23.75_116.25,23.75,116.25
595530-99999,595530,DONGGANG,CH,,22.467,120.433,8.0,Taiwan,province_geojson,South,21.25_121.25,21.25,121.25
595540-99999,595540,GAOXIONG,CH,,22.617,120.267,33.0,Taiwan,province_geojson,South,23.75_121.25,23.75,121.25
595580-99999,595580,HENG CHUN ARPT,TW,,22.033,120.733,13.0,Taiwan,isd_country_code,South,21.25_121.25,21.25,121.25
595590-99999,595590,HENGCHUN,CH,,22.0,120.75,24.0,Taiwan,province_geojson,South,21.25_121.25,21.25,121.25
595620-99999,595620,TAIDONG,CH,,22.75,121.15,10.0,Taiwan,province_geojson,South,23.75_121.25,23.75,121.25
595670-99999,595670,LAN YU,CH,,22.033,121.55,325.0,Taiwan,province_geojson,South,21.25_121.25,21.25,121.25
595680-99999,595680,ORCHID ISL.,TW,,22.033,121.55,10.0,Taiwan,isd_country_code,South,21.25_121.25,21.25,121.25
596220-99999,596220,DONG-JIAO (?),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
596260-99999,596260,DONG-XING,CH,,21.55,107.967,13.0,Guangxi,province_geojson,South,21.25_108.75,21.25,108.75
596320-99999,596320,QINZHOU,CH,,21.95,108.617,6.0,Guangxi,station_table_pdf,South,21.25_108.75,21.25,108.75
596330-99999,596330,BAI-MU,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
596440-99999,596440,BEIHAI,CH,,21.483,109.1,16.0,Guangxi,station_table_pdf,South,21.25_108.75,21.25,108.75
596441-99999,596441,BEIHAI AIRPORT,CH,ZGBH,21.539,109.294,16.0,Guangxi,province_geojson,South,21.25_108.75,21.25,108.75
596460-99999,596460,SHAN-KOU (?),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
596470-99999,596470,WEI-ZHOU ISLAND,CH,,21.033,109.117,41.0,Guangxi,province_geojson,South,21.25_108.75,21.25,108.75
596480-99999,596480,FOU-TOU,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
596570-99999,596570,ZHAN-JIANG,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
596580-99999,596580,ZHANJIANG,CH,ZGZJ,21.217,110.4,28.0,Guangdong,station_table_pdf,South,21.25_111.25,21.25,111.25
596630-99999,596630,YANGJIANG,CH,,21.867,111.967,22.0,Guangdong,station_table_pdf,South,21.25_111.25,21.25,111.25
596640-99999,596640,TIAN-CHENG,CH,,21.517,111.3,8.0,Guangdong,station_table_pdf,South,21.25_111.25,21.25,111.25
596730-99999,596730,SHANGCHUAN DAO,CH,,21.733,112.767,18.0,Guangdong,station_table_pdf,South,21.25_113.75,21.25,113.75
596830-99999,596830,BEI-JIAN ISLAND,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
597380-99999,597380,DAO-BACH-LONG ISLAN,CH,,20.133,107.733,58.0,Unmapped,unmapped,South,21.25_108.75,21.25,108.75
597450-99999,597450,XI-CUN,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
597480-99999,597480,LIN-GAO (CAPE),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
597520-99999,597520,BOGUS CHINESE,CH,,,,,Unmapped,unmapped,Unmapped,nan_nan,,
597540-99999,597540,XUWEN,CH,,20.367,110.167,109.0,Guangdong,station_table_pdf,South,21.25_111.25,21.25,111.25
597550-99999,597550,CHIN HO (CHIN NANG),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
597580-99999,597580,HAIKOU,CH,ZGHK,20.0,110.25,24.0,Hainan,station_table_pdf,South,21.25_111.25,21.25,111.25
597920-99999,597920,DONGSHA DAO,CH,,20.667,116.717,6.0,Unmapped,unmapped,South,21.25_116.25,21.25,116.25
598380-99999,598380,DONGFANG,CH,,19.1,108.617,8.0,Hainan,station_table_pdf,South,18.75_108.75,18.75,108.75
598450-99999,598450,DANXIAN,CH,,19.517,109.583,169.0,Hainan,station_table_pdf,South,18.75_108.75,18.75,108.75
598480-99999,598480,BAI-SHA,CH,,0.0,0.0,-999.0,Hainan,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
598490-99999,598490,XIN-SHI,CH,,19.067,109.883,243.0,Hainan,station_table_pdf,South,18.75_108.75,18.75,108.75
598530-99999,598530,APPROXIMATE LOCALE,CH,,19.833,110.833,0.0,Hainan,province_geojson,South,18.75_111.25,18.75,111.25
598550-99999,598550,QIONGHAI,CH,,19.233,110.467,25.0,Hainan,station_table_pdf,South,18.75_111.25,18.75,111.25
598580-99999,598580,BOGUS CHINESE,CH,,19.25,110.483,-999.0,Hainan,province_geojson,South,18.75_111.25,18.75,111.25
599380-99999,599380,HUANG-LIU,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
599450-99999,599450,BAO-TING,CH,,0.0,0.0,-999.0,Hainan,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
599480-99999,599480,SANYA,CH,,18.217,109.583,7.0,Hainan,province_geojson,South,18.75_108.75,18.75,108.75
599540-99999,599540,LING-SHUI,CH,,18.5,110.0,50.0,Hainan,province_geojson,South,18.75_111.25,18.75,111.25
599550-99999,599550,DA-ZHOU ISLAND,CH,,18.667,110.467,246.0,Hainan,province_geojson,South,18.75_111.25,18.75,111.25
599810-99999,599810,XISHA DAO,CH,,16.833,112.333,5.0,Unmapped,unmapped,South,16.25_111.25,16.25,111.25
599850-99999,599850,SANHU DAO,CH,,16.533,111.617,5.0,Unmapped,unmapped,South,16.25_111.25,16.25,111.25
599950-99999,599950,YONGSHUJIAO,CH,,9.533,112.883,6.0,Unmapped,unmapped,South,8.75_113.75,8.75,113.75
599970-99999,599970,NANSHA DAO,CH,,10.383,114.367,5.0,Unmapped,unmapped,South,11.25_113.75,11.25,113.75
