province,wmo_id,usaf_prefix,lat_table,lon_table,elev_table_m
Jiangxi,58606,586060,28.6,115.91666666666667,47.9
Jiangxi,58607,586070,28.55,115.95,32.9
Jiangxi,58608,586080,28.066666666666666,115.55,35.4
Jiangxi,58609,586090,28.216666666666665,115.81666666666666,28.2
Jiangxi,58612,586120,28.7,116.68333333333334,22.3
Jiangxi,58614,586140,28.383333333333333,116.26666666666667,35.5
Jiangxi,58615,586150,28.683333333333334,117.08333333333333,57.2
Jiangxi,58616,586160,28.2,116.81666666666666,41.9
Jiangxi,58618,586180,28.266666666666666,116.6,83.6
Jiangxi,58619,586190,28.0,116.36666666666666,50.2
Jiangxi,58620,586200,29.016666666666666,117.1,52.4
Jiangxi,58622,586220,28.95,117.58333333333333,89.7
Jiangxi,58623,586230,28.466666666666665,117.91666666666667,91.6
Jiangxi,58624,586240,28.4,117.43333333333334,71.0
Jiangxi,58625,586250,28.416666666666668,117.6,80.2
Jiangxi,58626,586260,28.316666666666666,117.25,57.6
Jiangxi,58627,586270,28.25,117.03333333333333,57.0
Jiangxi,58629,586290,28.283333333333335,117.7,101.4
Jiangxi,58634,586340,28.683333333333334,118.25,117.5
Jiangxi,58635,586350,28.433333333333334,118.2,96.3
Jiangxi,58637,586370,28.45,117.98333333333333,119.2
Jiangxi,58693,586930,28.7,115.83333333333333,41.2
Jiangxi,58701,587010,27.766666666666666,115.4,47.7
Jiangxi,58704,587040,27.616666666666667,115.35,54.0
Jiangxi,58705,587050,27.333333333333332,115.41666666666667,86.9
Jiangxi,58706,587060,27.433333333333334,115.83333333333333,183.0
Jiangxi,58707,587070,27.216666666666665,115.13333333333334,67.4
Jiangxi,58710,587100,27.766666666666666,116.05,79.8
Jiangxi,58712,587120,27.916666666666668,116.78333333333333,131.0
Jiangxi,58713,587130,27.716666666666665,117.06666666666666,225.8
Jiangxi,58714,587140,27.55,116.23333333333333,121.6
Jiangxi,58715,587150,27.583333333333332,116.65,82.0
Jiangxi,58718,587180,27.216666666666665,116.53333333333333,112.5
Jiangxi,58719,587190,27.3,116.93333333333334,132.1
Jiangxi,58804,588040,26.35,115.35,152.2
Jiangxi,58806,588060,26.483333333333334,116.01666666666667,210.3
Jiangxi,58813,588130,26.85,116.33333333333333,141.5
Jiangxi,58814,588140,26.35,116.35,248.6
Jiangxi,58903,589030,25.9,116.03333333333333,209.2
Jiangxi,58905,589050,25.966666666666665,115.41666666666667,134.4
Jiangxi,58906,589060,25.6,115.8,168.4
Jiangxi,58907,589070,25.15,115.4,306.2
Jiangxi,59091,590910,24.75,114.51666666666667,278.2
Jiangxi,59092,590920,24.916666666666668,114.81666666666666,207.5
Jiangxi,59093,590930,24.783333333333335,115.03333333333333,254.2
Jiangxi,59102,591020,24.95,115.65,302.6
Hebei,53392,533920,41.85,114.6,1423.5
Hebei,53397,533970,41.1,113.98333333333333,1377.7
Hebei,53399,533990,41.15,114.7,1394.4
Hebei,53491,534910,40.666666666666664,114.38333333333334,838.8
Hebei,53492,534920,40.1,114.15,938.7
Hebei,53498,534980,40.56666666666667,115.03333333333333,630.5
Hebei,53499,534990,40.766666666666666,114.73333333333333,756.2
Hebei,53593,535930,39.833333333333336,114.56666666666666,910.5
Hebei,53596,535960,38.85,115.13333333333334,53.4
Hebei,53599,535990,39.36666666666667,114.68333333333334,885.6
Hebei,53680,536800,38.3,114.38333333333334,110.1
Hebei,53682,536820,38.63333333333333,114.68333333333334,105.3
Hebei,53688,536880,38.416666666666664,114.55,101.8
Hebei,53689,536890,38.016666666666666,115.06666666666666,43.5
Hebei,53690,536900,38.85,114.18333333333334,283.1
Hebei,53691,536910,38.15,114.56666666666666,72.1
Hebei,53692,536920,38.733333333333334,114.98333333333333,67.6
Hebei,53693,536930,38.03333333333333,114.13333333333334,256.6
Hebei,53694,536940,38.266666666666666,114.21666666666667,132.0
Hebei,53695,536950,38.35,114.68333333333334,72.0
Hebei,53696,536960,38.55,115.01666666666667,42.3
Hebei,53697,536970,38.03333333333333,114.83333333333333,54.6
Hebei,53699,536990,38.18333333333333,114.95,46.6
Hebei,53773,537730,36.333333333333336,114.61666666666666,65.8
Hebei,53781,537810,36.86666666666667,114.46666666666667,69.0
Hebei,53784,537840,37.75,114.78333333333333,39.6
Hebei,53785,537850,37.516666666666666,114.66666666666667,36.2
Hebei,53789,537890,37.88333333333333,114.63333333333334,54.0
Hebei,53790,537900,37.63333333333333,114.6,45.7
Hebei,53791,537910,37.766666666666666,114.51666666666667,67.5
Hebei,53792,537920,37.45,114.48333333333333,114.2
Hebei,53794,537940,37.35,114.75,34.3
Hebei,53795,537950,37.65,114.36666666666666,138.5
Hebei,53796,537960,37.61666666666667,114.88333333333334,31.8
Hebei,53797,537970,37.28333333333333,114.51666666666667,75.1
Hebei,53798,537980,37.06666666666667,114.5,78.5
Hebei,53799,537990,37.233333333333334,114.98333333333333,27.1
Hebei,53883,538830,37.13333333333333,114.7,37.7
Hebei,53886,538860,36.56666666666667,113.66666666666667,471.6
Hebei,53890,538900,36.666666666666664,114.1,281.3
Hebei,53891,538910,37.016666666666666,114.68333333333334,44.2
Hebei,53892,538920,36.61666666666667,114.46666666666667,67.7
Hebei,53893,538930,36.766666666666666,114.95,40.8
Hebei,53894,538940,36.4,114.2,150.5
Hebei,53895,538950,36.78333333333333,114.5,61.8
Hebei,53896,538960,36.35,114.95,51.3
Hebei,53897,538970,36.38333333333333,114.38333333333334,70.9
Hebei,53899,538990,36.483333333333334,114.96666666666667,49.7
Hebei,53980,539800,36.55,114.8,51.3
Hebei,53996,539960,36.45,114.65,59.0
Hebei,54301,543010,41.666666666666664,115.66666666666667,1413.1
Hebei,54304,543040,40.95,115.26666666666667,1241.1
Hebei,54308,543080,41.2,116.63333333333334,736.3
Hebei,54311,543110,41.96666666666667,117.76666666666667,893.8
Hebei,54318,543180,41.31666666666667,117.73333333333333,562.8
Hebei,54319,543190,41.0,118.66666666666667,503.3
